el sonido;Laut
el olor;Geruch
característico/-a;charakteristisch
sorprender;überraschen
realmente;wirklich
el comedor;Esszimmer, Kantine
familiar;Familien-
el/la familiar;Verwandte/r
los alrededores;Umgebung
notar;merken
Ten cuidado!;Sei vorsichtig!
a partir de entonces;seit damals
el moto;Motorrad
sacar;hier:machen
el carné de conducir;Führerschein
montar;fahren
la historieta;Comic
inconsciente;bewusslos
Dios mio!;Mein Gott!
Socorro!;Hilfe!
el chiringuito;Imbissstand
encontrarse (o>ue);sich befinden
la colchoneta;Luftmatratze
de repente;plötzlich
morder (o>ue);beißen
rápidamente;schnell
caer;hinfallen
la orilla;Ufer
preocupado/-a;besorgt
el pérdon;Verzeihung
las afueras de la cuidad;Stadtrand
ladrar;bellen
el monedero;Geldbeutel
la bolsa;Tasche
tras;hinter
lleno/-a;voll, satt
el comienzo;Beginn
pelirrojo/-a;rothaarig
tener prisa;eilig haben
por lo visto;allem Anschein nach
robar;stehlen
gritar;schreien
acercase;sich nähern
el miedo;Angst
inesperado/-a;unerwartet
ridículo/-a;lächerlich
