el cuento;Erzählung, Märchen
la muchacha;Mädchen
ningún;keine/r/s
proteger;schützen
cuidar;aufpassen
la tierra;Festland
colorín colorado, este cuento se ha acabado;und wenn sie nicht gestorben sind, dann leben sie noch heute
coger;nehmen
el fuego;Feuer
matar;töten, umbringen
banar;baden
pescar;fischen
érase una vez;es war ein mal
el personaje;Figur
la pistola;Waffe
el león;Löwe
el tacón;Absatz
el cazador;Jäger
la piedra;Stein
disparar;schießen
el cliché;Klischee
el chiste;Witz
social;gesellschaftlich
el sexo;Sex
madrileno/-a;aus Madrid
la máquina de la verdad;Lügendetektor
agarrado/-a;geizig
bruto/-a;dumm
chulo/-a;eingebildet
sonreír;lächeln
relampaguear;blitzen
Dios;Gott
empujar;schieben
estrujar;sich durchquetschen
separar;trennen
la media noche;Mitternacht
tocar;klopfen
suicida;selbstmörderisch
el abogado;Rechtsanwalt
el rayo;Strahl
la tumba;Grab
descansar;sich ausruhen
correspondiente;entsprechend
el relato;Erzählung
delicioso/-a;lecker
vacío;leer
el/la protagonista;Hauptperson
acabar;enden
la ilusión;Freude
la serie;Fernsehserie
el puente;Brücke
el millonario;Millionär
natural de;gebürtig aus
el premio gordo;Haupttreffer
el paso;Schritt
seducir;verführen
la actuación;Auftritt
meterse;hineintun, sich einmischen
doméstico/-a;Haus-
cansarse;müde werden
sacar;bitten
la madrastra;Stiefmutter
perezoso/-a;faul
orgulloso/-a;hochmütig
la hermanastra;Stiefschwester
hacer dano;jemanden weh tun
la criada;Dienstmädchen
el hada madrina;Fee
el emisario;Abgesandter
estar perdidamente enamorado/-a;bis über beide Ohren verliebt sein
concertar;vereinbaren
