ayer;gestern
estuve (inf. estar);ich war, ich bin gewesen
Qué tal el fin de semana?;Wie war das Wochenende?
fue (inf. ser);es war, er,sie es ist gewesen
divertido/-a;unterhaltsam, lustig
Anda, cuenta!;Komm schon, erzähl!
contar (o>ue);erzählen
conocí a ..;ich habe ...kennengelernt
cantar;singen
charlar;reden, plaudern
total, que el domingo..;also, und am Sonntag...
la cama;Bett
fui (inf. ir);ich ging, ich bin gegangen
ayudar a recoger;aufräumen helfen
ayudar;helfen
recoger;aufräumen
nada especial;nichts Besonderes
la catedral;Kathedrale
hacer fotos;fotografieren
la foto;Foto
la sonagoga;Synagoge
aburrido/-a;langweilig
monótono/-a;monoton, eintönig
creer (que);glauben 
hacer camping;campen
ir al campo;aufs Land fahren
en realidad;in Wirklichkeit
por última vez;zum letzten Mal
anteayer;vorgstern
el lunes pasado;letzten, vergangenen Montag
la semana pasada;vergangene Woche
el otro día;neulich
el titular;Überschrift, Schlagzeile
el artículo;(Zeitungs)Artikel
la fiesta benéfica;Wohltätigkeitsfest
el público;Publikum, Öffentlichkeit
la presentación;Präsentation
nuevo/-a;neulichel disco;Platte
el fin luminoso;strahlendes Ende
la feria;Jahrmarkt, Kirmes
agradó (inf. agradar);ihm/ihr gefiel
registrar;registrieren
multitudinario/-a;Massen...
la asistencia;Teilnahme
el acto;Feier
la colaboración;Mitarbeit
el Ayuntamiento;Stadtverwaltung
invitar;einladen
gratuitamiente;gratis
los chipioneros;Bewohner von Chipiona
los visitantes;Besucher
asistir;teilnehmen
poner en escena;aufführen
algo más de...;etwas mehr als...
pasar;verbringen
jueves festivo;Donnerstag-Feiertag
el patio;Innenhof
el colegio;Schule
contar;rechnen
sobrepasar;übersteingen
alcanzar;erreichen
la recaudación;Einnahmen
mayores;Erwachsene
el acontecimiento;Ereignis
tener lugar;stattfinden
la bodega;Bodega, Weinstube
los jóvenes;Jugendliche
los adultos;Erwachsene
colaborar;zusammenarbeiten
la organización;Organisation
el festejo;Festlichkeit
resultar;resultieren
el éxito;Erfolg
tradicional;traditionell
convertirse;sich verwandeln
aunque;wenn auch
má moderado que;moderater als
el (día) anterior;der vorherige Tag
Qué tiempo hace?;Wie ist das Wetter?
llueve;es regnet
nieva;es schneit
hace sol;es ist sonnig
hace frío;es ist kalt
hace calor;es ist warm
hace viento;es ist windig
hace 20 grados;es ist 20 Grad
maravilloso/-a;wunderbar
Qué suerte tuvimos...!;Was für ein Glück hatten wir..!
el puente;Brücke, langes Wochenende
quizás;vielleicht
la costa;Küste
sin parar;ohne Unterlass
horrible;schreclkich
Qué mala suerte!;Was für ein Pech!
casi;fast, beinahe
la piscina;Schwimmbad
Qué tiempo tan horrible!;Was für ein schreckliches Unwettter!
